Player,Tm,Opp,Res,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,Data
Luke Kornet,BOS,IND,L,15.7,1,5,0.2,0,0,0.0,6,6,1.0,7,2,9,2,0,0,0,2,8,11.0,2024-10-30
Cam Thomas,BRK,MEM,W,33.3,4,12,0.333,1,6,0.167,10,11,0.909,0,2,2,2,1,0,3,2,19,11.0,2024-10-30
Jalen Wilson,BRK,MEM,W,26.85,5,7,0.714,1,3,0.333,1,2,0.5,3,4,7,2,0,0,2,1,12,11.0,2024-10-30
Kyshawn George,WAS,ATL,W,31.55,5,10,0.5,1,5,0.2,0,0,0.0,0,2,2,4,3,0,0,4,11,10.8,2024-10-30
D'Angelo Russell,LAL,CLE,L,24.13,2,7,0.286,0,3,0.0,6,6,1.0,1,2,3,5,0,0,0,0,10,10.7,2024-10-30
Jordan Hawkins,NOP,GSW,L,38.82,9,21,0.429,4,14,0.286,1,2,0.5,1,3,4,1,0,0,2,3,23,10.6,2024-10-30
Alex Sarr,WAS,ATL,W,23.12,3,9,0.333,2,5,0.4,3,4,0.75,0,5,5,2,1,4,1,2,11,10.4,2024-10-30
David Roddy,ATL,WAS,L,31.77,5,10,0.5,1,4,0.25,6,6,1.0,0,4,4,1,2,0,4,4,17,10.3,2024-10-30
Cameron Johnson,BRK,MEM,W,35.23,4,12,0.333,4,8,0.5,2,2,1.0,0,2,2,4,0,1,0,3,14,10.1,2024-10-30
Jamal Shead,TOR,CHO,L,19.57,2,6,0.333,1,2,0.5,2,3,0.667,1,1,2,9,1,0,1,1,7,10.1,2024-10-30
Chris Boucher,TOR,CHO,L,16.77,6,10,0.6,1,4,0.25,0,0,0.0,1,3,4,1,0,1,1,1,13,10.0,2024-10-30
Zach Edey,MEM,BRK,L,18.43,6,9,0.667,0,0,0.0,1,2,0.5,2,0,2,1,1,0,1,2,13,10.0,2024-10-30
Darius Garland,CLE,LAL,W,22.18,5,14,0.357,2,7,0.286,0,0,0.0,0,0,0,10,2,0,2,3,12,10.0,2024-10-30
Isaiah Jackson,IND,BOS,W,25.12,3,5,0.6,0,0,0.0,4,4,1.0,2,3,5,0,2,2,1,6,10,10.0,2024-10-30
Davion Mitchell,TOR,CHO,L,28.43,5,11,0.455,0,5,0.0,1,2,0.5,1,1,2,11,0,0,2,4,11,10.0,2024-10-30
Jeremiah Robinson-Earl,NOP,GSW,L,22.67,3,4,0.75,0,1,0.0,3,3,1.0,2,3,5,3,0,0,1,2,9,10.0,2024-10-30
Toumani Camara,POR,LAC,W,40.2,5,10,0.5,2,4,0.5,0,0,0.0,0,1,1,1,3,1,1,2,12,9.9,2024-10-30
Corey Kispert,WAS,ATL,W,36.77,6,14,0.429,4,11,0.364,0,0,0.0,0,1,1,2,0,0,0,1,16,9.9,2024-10-30
Aaron Nesmith,IND,BOS,W,30.37,5,9,0.556,2,4,0.5,0,0,0.0,1,7,8,3,0,1,1,6,12,9.9,2024-10-30
Bam Adebayo,MIA,NYK,L,32.88,3,7,0.429,0,2,0.0,5,6,0.833,1,2,3,4,1,0,1,3,11,9.8,2024-10-30
Malaki Branham,SAS,OKC,L,19.87,6,11,0.545,3,4,0.75,0,0,0.0,0,3,3,0,0,0,1,0,15,9.6,2024-10-30
Kai Jones,LAC,POR,L,16.68,2,2,1.0,0,0,0.0,3,5,0.6,3,2,5,1,0,2,0,2,7,9.6,2024-10-30
Josh Green,CHO,TOR,W,22.42,3,6,0.5,3,4,0.75,0,0,0.0,1,1,2,3,0,2,0,3,9,9.3,2024-10-30
Jared McCain,PHI,DET,L,21.82,3,9,0.333,0,1,0.0,6,6,1.0,1,2,3,3,0,0,1,0,12,9.3,2024-10-30
Kris Murray,POR,LAC,W,18.75,2,4,0.5,1,2,0.5,0,0,0.0,3,5,8,2,2,1,1,1,5,9.3,2024-10-30
Andre Drummond,PHI,DET,L,27.83,3,5,0.6,0,0,0.0,3,6,0.5,4,7,11,0,1,0,1,3,9,9.2,2024-10-30
Ja Morant,MEM,BRK,L,29.13,5,16,0.313,1,6,0.167,3,4,0.75,2,6,8,11,0,0,5,3,14,9.1,2024-10-30
Patrick Williams,CHI,ORL,W,29.78,3,8,0.375,3,5,0.6,1,2,0.5,1,6,7,2,1,0,1,0,10,9.1,2024-10-30
Ochai Agbaji,TOR,CHO,L,28.82,3,6,0.5,1,3,0.333,3,3,1.0,0,3,3,3,0,2,2,1,10,9.0,2024-10-30
Derrick Jones,LAC,POR,L,32.68,4,11,0.364,1,3,0.333,0,0,0.0,2,6,8,2,1,1,0,1,9,8.8,2024-10-30
Keaton Wallace,ATL,WAS,L,14.7,3,3,1.0,2,2,1.0,0,0,0.0,0,1,1,2,0,0,0,0,8,8.8,2024-10-30
Ben Sheppard,IND,BOS,W,20.87,3,6,0.5,1,3,0.333,0,0,0.0,2,4,6,2,1,1,1,0,7,8.7,2024-10-30
Javonte Green,NOP,GSW,L,25.68,1,5,0.2,1,4,0.25,2,2,1.0,2,3,5,2,3,2,1,1,5,8.6,2024-10-30
Miles McBride,NYK,MIA,W,25.03,3,8,0.375,2,5,0.4,2,2,1.0,1,2,3,2,2,1,2,1,10,8.6,2024-10-30
Nikola Jović,MIA,NYK,L,27.0,4,7,0.571,2,4,0.5,0,2,0.0,1,5,6,1,0,0,0,1,10,8.4,2024-10-30
Brandin Podziemski,GSW,NOP,W,38.1,5,15,0.333,2,7,0.286,1,2,0.5,2,6,8,7,1,0,4,2,13,8.4,2024-10-30
Jonathan Isaac,ORL,CHI,L,13.9,2,5,0.4,2,4,0.5,2,2,1.0,2,3,5,1,1,0,1,0,8,8.3,2024-10-30
Nicolas Batum,LAC,POR,L,13.02,2,4,0.5,1,3,0.333,0,0,0.0,0,2,2,4,2,0,0,1,5,8.0,2024-10-30
Clint Capela,ATL,WAS,L,23.88,5,7,0.714,0,0,0.0,2,2,1.0,0,5,5,0,0,0,2,2,12,7.8,2024-10-30
Jaxson Hayes,LAL,CLE,L,19.07,2,2,1.0,0,0,0.0,2,2,1.0,2,1,3,2,1,0,1,2,6,7.7,2024-10-30
Franz Wagner,ORL,CHI,L,22.58,3,8,0.375,0,3,0.0,1,1,1.0,1,2,3,4,1,1,0,2,7,7.6,2024-10-30
Ousmane Dieng,OKC,SAS,W,18.58,2,5,0.4,1,4,0.25,0,0,0.0,1,4,5,3,2,0,0,2,5,7.5,2024-10-30
Ben Simmons,BRK,MEM,W,24.52,4,5,0.8,0,0,0.0,0,0,0.0,2,3,5,3,1,0,2,5,8,7.5,2024-10-30
Guerschon Yabusele,PHI,DET,L,18.77,3,4,0.75,2,3,0.667,0,0,0.0,0,2,2,2,2,1,2,4,8,7.5,2024-10-30
LaMelo Ball,CHO,TOR,W,32.4,7,20,0.35,4,12,0.333,1,1,1.0,0,3,3,6,2,0,6,4,19,7.3,2024-10-30
Anthony Black,ORL,CHI,L,23.2,1,5,0.2,0,2,0.0,2,2,1.0,1,2,3,6,1,3,1,3,4,7.3,2024-10-30
OG Anunoby,NYK,MIA,W,36.87,3,6,0.5,3,6,0.5,2,2,1.0,0,3,3,0,2,0,3,2,11,7.1,2024-10-30
Isaiah Joe,OKC,SAS,W,18.7,2,3,0.667,2,3,0.667,0,0,0.0,0,1,1,2,1,0,0,1,6,7.0,2024-10-30
Dean Wade,CLE,LAL,W,26.45,3,7,0.429,2,6,0.333,0,2,0.0,0,3,3,2,3,0,1,2,8,7.0,2024-10-30
Ivica Zubac,LAC,POR,L,31.23,2,7,0.286,0,0,0.0,2,6,0.333,4,8,12,1,1,2,0,4,6,7.0,2024-10-30
Malik Beasley,DET,PHI,W,25.5,4,11,0.364,3,10,0.3,0,1,0.0,2,1,3,3,0,0,1,1,11,6.9,2024-10-30
Rui Hachimura,LAL,CLE,L,28.28,4,6,0.667,0,1,0.0,0,0,0.0,0,5,5,2,1,0,2,1,8,6.9,2024-10-30
Al Horford,BOS,IND,L,19.38,3,6,0.5,2,4,0.5,0,0,0.0,1,3,4,1,1,0,1,1,8,6.9,2024-10-30
Cason Wallace,OKC,SAS,W,29.13,4,9,0.444,1,3,0.333,0,0,0.0,1,0,1,2,2,1,1,3,9,6.9,2024-10-30
Donovan Clingan,POR,LAC,W,11.12,3,5,0.6,1,1,1.0,0,0,0.0,3,3,6,0,1,1,1,4,7,6.8,2024-10-30
Neemias Queta,BOS,IND,L,13.65,1,2,0.5,0,0,0.0,0,0,0.0,4,5,9,1,0,1,0,0,2,6.7,2024-10-30
T.J. McConnell,IND,BOS,W,21.58,5,11,0.455,0,1,0.0,0,0,0.0,0,2,2,3,1,0,1,1,10,6.6,2024-10-30
Kelly Oubre,PHI,DET,L,30.9,5,14,0.357,2,6,0.333,1,2,0.5,2,5,7,1,0,0,1,2,13,6.6,2024-10-30
Keon Johnson,BRK,MEM,W,15.85,2,4,0.5,0,2,0.0,0,0,0.0,2,5,7,1,1,0,0,1,4,6.2,2024-10-30
Desmond Bane,MEM,BRK,L,16.72,3,7,0.429,1,2,0.5,3,3,1.0,1,5,6,0,0,0,2,1,10,6.1,2024-10-30
Zach LaVine,CHI,ORL,W,35.62,2,9,0.222,1,4,0.25,6,8,0.75,0,10,10,3,1,0,4,2,11,6.0,2024-10-30
Jamal Cain,NOP,GSW,L,23.87,3,4,0.75,0,1,0.0,1,2,0.5,1,1,2,1,1,1,1,4,7,5.8,2024-10-30
Kris Dunn,LAC,POR,L,18.28,3,3,1.0,0,0,0.0,0,0,0.0,0,2,2,2,0,0,1,1,6,5.7,2024-10-30
Keldon Johnson,SAS,OKC,L,29.43,4,11,0.364,1,5,0.2,0,0,0.0,1,6,7,2,2,0,3,1,9,5.4,2024-10-30
Garrison Mathews,ATL,WAS,L,23.17,2,5,0.4,2,4,0.5,0,0,0.0,0,1,1,2,2,0,0,4,6,5.4,2024-10-30
Rayan Rupert,POR,LAC,W,7.53,3,4,0.75,1,1,1.0,0,1,0.0,1,0,1,0,0,0,0,1,7,5.3,2024-10-30
Tidjane Salaün ,CHO,TOR,W,16.17,1,3,0.333,0,2,0.0,1,2,0.5,1,2,3,3,1,0,0,0,3,5.3,2024-10-30
Thomas Bryant,MIA,NYK,L,15.12,2,3,0.667,2,3,0.667,0,0,0.0,1,2,3,0,0,0,0,2,6,5.2,2024-10-30
Victor Wembanyama,SAS,OKC,L,27.25,1,5,0.2,0,3,0.0,4,4,1.0,1,7,8,2,0,3,4,0,6,5.2,2024-10-30
Seth Curry,CHO,TOR,W,26.53,2,4,0.5,1,2,0.5,2,2,1.0,2,0,2,1,0,0,2,0,7,5.1,2024-10-30
Amir Coffey,LAC,POR,L,26.93,4,7,0.571,1,3,0.333,0,0,0.0,0,0,0,0,0,0,0,2,9,4.9,2024-10-30
Ron Holland,DET,PHI,W,12.92,3,4,0.75,0,0,0.0,0,0,0.0,0,3,3,0,0,0,0,1,6,4.9,2024-10-30
Dorian Finney-Smith,BRK,MEM,W,28.1,3,8,0.375,1,4,0.25,0,0,0.0,1,4,5,4,2,0,3,4,7,4.7,2024-10-30
Moritz Wagner,ORL,CHI,L,16.12,1,4,0.25,1,2,0.5,4,4,1.0,0,6,6,1,0,0,2,1,7,4.7,2024-10-30
Kyle Lowry,PHI,DET,L,19.63,1,3,0.333,1,2,0.5,0,0,0.0,0,3,3,2,2,1,1,2,3,4.5,2024-10-30
KJ Martin,PHI,DET,L,22.5,2,4,0.5,0,0,0.0,2,2,1.0,0,2,2,0,0,1,0,2,6,4.5,2024-10-30
Cameron Payne,NYK,MIA,W,11.63,0,1,0.0,0,1,0.0,0,0,0.0,0,1,1,5,1,1,0,1,0,4.4,2024-10-30
Jaylen Wells,MEM,BRK,L,22.97,3,7,0.429,2,6,0.333,1,2,0.5,0,1,1,4,0,1,4,1,9,4.3,2024-10-30
Kentavious Caldwell-Pope,ORL,CHI,L,33.95,3,9,0.333,2,7,0.286,0,0,0.0,1,0,1,1,1,0,0,3,8,4.1,2024-10-30
Sam Merrill,CLE,LAL,W,21.27,1,4,0.25,1,4,0.25,0,0,0.0,0,0,0,3,2,0,0,2,3,3.9,2024-10-30
Max Christie,LAL,CLE,L,27.27,1,6,0.167,1,5,0.2,3,4,0.75,0,1,1,1,1,0,0,0,6,3.8,2024-10-30
Kevin Porter,LAC,POR,L,15.05,5,11,0.455,0,4,0.0,0,0,0.0,1,5,6,1,2,0,5,1,10,3.8,2024-10-30
Sam Hauser,BOS,IND,L,13.83,2,6,0.333,1,4,0.25,0,0,0.0,0,2,2,1,1,1,1,0,5,3.6,2024-10-30
Jaime Jaquez,MIA,NYK,L,27.3,2,10,0.2,0,2,0.0,4,8,0.5,2,6,8,4,0,0,1,4,8,3.6,2024-10-30
Tristan Thompson,CLE,LAL,W,5.27,2,2,1.0,0,0,0.0,0,1,0.0,0,3,3,1,0,0,1,0,4,3.6,2024-10-30
Lindy Waters,GSW,NOP,W,29.97,1,5,0.2,1,5,0.2,0,0,0.0,0,1,1,3,1,1,0,1,3,3.6,2024-10-30
Bronny James,LAL,CLE,L,5.27,1,2,0.5,0,1,0.0,0,0,0.0,0,0,0,2,1,0,0,0,2,3.4,2024-10-30
Terance Mann,LAC,POR,L,19.33,2,5,0.4,0,2,0.0,0,0,0.0,3,1,4,3,0,0,1,4,4,3.2,2024-10-30
Georges Niang,CLE,LAL,W,21.55,2,4,0.5,1,3,0.333,0,0,0.0,1,1,2,2,1,0,2,3,5,3.2,2024-10-30
Adama Sanogo,CHI,ORL,W,8.75,2,4,0.5,0,0,0.0,0,0,0.0,1,0,1,1,0,0,0,1,4,3.0,2024-10-30
Simone Fontecchio,DET,PHI,W,17.45,0,1,0.0,0,1,0.0,2,2,1.0,1,3,4,2,0,0,1,1,2,2.9,2024-10-30
Dru Smith,MIA,NYK,L,16.37,1,4,0.25,0,1,0.0,0,0,0.0,0,4,4,0,0,3,0,0,2,2.9,2024-10-30
Jrue Holiday,BOS,IND,L,24.67,3,9,0.333,1,3,0.333,1,2,0.5,1,2,3,4,0,0,3,2,8,2.8,2024-10-30
John Konchar,MEM,BRK,L,19.2,1,2,0.5,1,2,0.5,0,0,0.0,0,3,3,0,0,1,1,0,3,2.6,2024-10-30
Reece Beekman,GSW,NOP,W,1.37,1,1,1.0,0,0,0.0,0,0,0.0,1,0,1,0,0,0,0,0,2,2.4,2024-10-30
Trey Jemison,NOP,GSW,L,1.37,1,2,0.5,0,0,0.0,0,0,0.0,2,0,2,0,0,0,0,0,2,2.4,2024-10-30
Moses Moody,GSW,NOP,W,30.1,3,9,0.333,2,6,0.333,0,0,0.0,1,3,4,3,0,0,3,3,8,2.4,2024-10-30
Andrew Nembhard,IND,BOS,W,5.05,1,1,1.0,0,0,0.0,0,0,0.0,0,0,0,1,1,0,1,0,2,2.4,2024-10-30
Zach Collins,SAS,OKC,L,12.47,1,3,0.333,1,2,0.5,0,0,0.0,2,2,4,1,0,1,2,1,3,2.3,2024-10-30
Austin Reaves,LAL,CLE,L,27.83,2,6,0.333,1,4,0.25,2,2,1.0,0,2,2,3,0,0,4,0,7,2.3,2024-10-30
Zion Williamson,NOP,GSW,L,32.73,5,20,0.25,0,1,0.0,2,7,0.286,6,6,12,4,0,1,4,3,12,2.3,2024-10-30
Kevon Looney,GSW,NOP,W,8.55,1,1,1.0,0,0,0.0,0,0,0.0,1,3,4,1,0,0,1,2,2,2.2,2024-10-30
Jericho Sims,NYK,MIA,W,9.22,1,1,1.0,0,0,0.0,0,0,0.0,1,2,3,0,0,0,0,2,2,2.2,2024-10-30
Jared Butler,WAS,ATL,W,9.68,1,2,0.5,0,0,0.0,0,0,0.0,0,2,2,2,0,0,1,0,2,2.0,2024-10-30
Moussa Diabaté,CHO,TOR,W,9.43,0,0,0.0,0,0,0.0,0,0,0.0,1,3,4,1,0,0,0,1,0,1.9,2024-10-30
Brandon Boston,NOP,GSW,L,10.25,0,3,0.0,0,1,0.0,1,2,0.5,0,3,3,2,2,0,1,0,1,1.8,2024-10-30
Scotty Pippen ,MEM,BRK,L,20.03,1,4,0.25,0,2,0.0,3,3,1.0,0,0,0,4,1,0,3,4,5,1.8,2024-10-30
Larry Nance,ATL,WAS,L,6.87,1,1,1.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,2,1.7,2024-10-30
Eric Gordon,PHI,DET,L,16.07,1,3,0.333,0,2,0.0,1,1,1.0,0,0,0,1,0,0,0,1,3,1.6,2024-10-30
Alex Caruso,OKC,SAS,W,21.9,0,5,0.0,0,3,0.0,0,0,0.0,0,2,2,2,4,0,1,0,0,1.5,2024-10-30
Jett Howard,ORL,CHI,L,11.02,1,4,0.25,1,4,0.25,0,0,0.0,0,2,2,0,0,1,0,1,3,1.5,2024-10-30
Marvin Bagley,WAS,ATL,W,5.52,1,2,0.5,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,2,1.3,2024-10-30
Ricky Council,PHI,DET,L,6.55,1,2,0.5,0,1,0.0,0,0,0.0,0,1,1,0,0,0,0,0,2,1.3,2024-10-30
Jay Huff,MEM,BRK,L,9.85,2,3,0.667,0,1,0.0,0,0,0.0,0,0,0,0,0,0,1,1,4,1.3,2024-10-30
Gabe Vincent,LAL,CLE,L,16.15,2,5,0.4,1,3,0.333,0,0,0.0,0,0,0,0,0,0,1,0,5,1.3,2024-10-30
Onyeka Okongwu,ATL,WAS,L,24.12,1,5,0.2,0,4,0.0,0,0,0.0,1,2,3,2,0,0,0,1,2,1.2,2024-10-30
Aaron Wiggins,OKC,SAS,W,17.87,2,8,0.25,0,3,0.0,0,0,0.0,0,3,3,3,0,0,1,0,4,1.2,2024-10-30
Miles Bridges,CHO,TOR,W,23.9,2,11,0.182,1,7,0.143,2,2,1.0,0,3,3,2,0,1,2,0,7,1.1,2024-10-30
Jake LaRavia,MEM,BRK,L,25.63,1,10,0.1,0,2,0.0,1,2,0.5,5,2,7,5,0,1,2,3,3,1.1,2024-10-30
Sandro Mamukelashvili,SAS,OKC,L,7.83,1,3,0.333,1,2,0.5,0,0,0.0,1,4,5,1,0,0,2,2,3,1.1,2024-10-30
Patrick Baldwin,WAS,ATL,W,2.95,1,2,0.5,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,2,1.0,2024-10-30
Sidy Cissoko,SAS,OKC,L,2.77,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,1,0,0,0,0,0,1.0,2024-10-30
Marcus Smart,MEM,BRK,L,6.28,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,1,0,0,0,0,0,1.0,2024-10-30
Jaylon Tyson,CLE,LAL,W,5.27,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,1,0,0,0,0,0,1.0,2024-10-30
Adem Bona,PHI,DET,L,3.28,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,1,0,0,0,0.7,2024-10-30
Pat Spencer,GSW,NOP,W,1.37,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,0,0,0.7,2024-10-30
Duncan Robinson,MIA,NYK,L,13.9,2,7,0.286,1,5,0.2,0,0,0.0,0,2,2,0,0,0,1,0,5,0.5,2024-10-30
Bruno Fernando,TOR,CHO,L,3.0,0,0,0.0,0,0,0.0,0,0,0.0,1,0,1,0,0,0,0,1,0,0.3,2024-10-30
Shake Milton,BRK,MEM,W,1.12,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,0.3,2024-10-30
Isaac Okoro,CLE,LAL,W,19.98,1,3,0.333,1,2,0.5,0,0,0.0,0,0,0,0,1,0,0,5,3,0.3,2024-10-30
Gary Payton,GSW,NOP,W,7.32,0,0,0.0,0,0,0.0,0,0,0.0,1,0,1,2,0,0,1,2,0,0.3,2024-10-30
Jabari Walker,POR,LAC,W,5.72,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,0.3,2024-10-30
Blake Wesley,SAS,OKC,L,12.95,2,5,0.4,0,2,0.0,1,2,0.5,0,1,1,0,0,0,2,0,5,0.2,2024-10-30
Julian Phillips,CHI,ORL,W,14.12,1,4,0.25,1,4,0.25,1,2,0.5,0,1,1,0,1,0,2,1,4,0.1,2024-10-30
Santi Aldama,MEM,BRK,L,22.05,1,5,0.2,0,2,0.0,0,0,0.0,0,3,3,0,2,0,1,2,2,0.0,2024-10-30
Yongxi Cui,BRK,MEM,W,1.12,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,2024-10-30
Johnny Davis,WAS,ATL,W,5.8,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,2024-10-30
Alex Ducas,OKC,SAS,W,1.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,2024-10-30
Anthony Gill,WAS,ATL,W,0.03,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,2024-10-30
Jaylen Martin,BRK,MEM,W,1.12,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,2024-10-30
Tyrese Martin,BRK,MEM,W,1.12,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,2024-10-30
Xavier Tillman,BOS,IND,L,7.63,0,3,0.0,0,1,0.0,0,0,0.0,1,1,2,0,1,0,0,0,0,-0.1,2024-10-30
Jordan Walsh,BOS,IND,L,7.98,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,1,0,-0.1,2024-10-30
Adam Flagler,OKC,SAS,W,1.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,-0.4,2024-10-30
Gary Harris,ORL,CHI,L,18.37,0,3,0.0,0,2,0.0,0,0,0.0,1,1,2,1,0,0,0,0,0,-0.4,2024-10-30
Dillon Jones,OKC,SAS,W,2.77,0,1,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,-0.4,2024-10-30
Torrey Craig,CHI,ORL,W,3.43,0,1,0.0,0,1,0.0,0,0,0.0,0,2,2,0,0,0,0,1,0,-0.5,2024-10-30
Matas Buzelis,CHI,ORL,W,4.1,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-0.7,2024-10-30
Yuki Kawamura,MEM,BRK,L,1.3,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-0.7,2024-10-30
Gui Santos,GSW,NOP,W,1.37,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-0.7,2024-10-30
Jerami Grant,POR,LAC,W,33.72,3,14,0.214,2,7,0.286,0,0,0.0,2,1,3,1,0,0,2,2,8,-1.0,2024-10-30
Caleb Martin,PHI,DET,L,32.58,2,10,0.2,1,3,0.333,2,4,0.5,1,4,5,1,0,0,2,4,7,-1.0,2024-10-30
Yves Missi,NOP,GSW,L,12.03,0,5,0.0,0,0,0.0,0,0,0.0,2,1,3,1,0,0,0,0,0,-1.1,2024-10-30
Julian Champagnie,SAS,OKC,L,20.03,1,5,0.2,1,4,0.25,0,0,0.0,0,3,3,0,1,0,3,0,3,-1.2,2024-10-30
Noah Clowney,BRK,MEM,W,13.65,2,8,0.25,1,5,0.2,0,0,0.0,0,2,2,0,0,0,0,5,5,-1.2,2024-10-30
Jamison Battle,TOR,CHO,L,14.05,0,2,0.0,0,2,0.0,0,0,0.0,0,3,3,0,0,0,0,2,0,-1.3,2024-10-30
Cam Reddish,LAL,CLE,L,9.22,0,1,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,1,0,0,-1.4,2024-10-30
Stephon Castle,SAS,OKC,L,20.17,0,5,0.0,0,3,0.0,0,0,0.0,0,2,2,1,0,1,0,0,0,-1.5,2024-10-30
Jalen Duren,DET,PHI,W,10.72,0,0,0.0,0,0,0.0,0,2,0.0,3,3,6,1,0,0,2,6,0,-1.5,2024-10-30
Daniel Theis,NOP,GSW,L,5.27,0,2,0.0,0,0,0.0,0,0,0.0,0,3,3,0,0,0,1,0,0,-1.5,2024-10-30
Dalen Terry,CHI,ORL,W,11.05,1,6,0.167,0,2,0.0,0,0,0.0,0,2,2,0,0,0,0,2,2,-2.0,2024-10-30
Jarace Walker,IND,BOS,W,8.47,0,1,0.0,0,0,0.0,0,0,0.0,0,1,1,0,2,0,4,2,0,-3.2,2024-10-30
Devin Booker,PHO,LAC,W,37.77,11,18,0.611,5,9,0.556,13,15,0.867,1,4,5,8,3,0,2,1,40,39.1,2024-10-31
Giannis Antetokounmpo,MIL,MEM,L,33.52,17,22,0.773,0,0,0.0,3,8,0.375,1,10,11,4,1,1,1,4,37,32.0,2024-10-31
Ja Morant,MEM,MIL,W,28.9,9,16,0.563,2,5,0.4,6,7,0.857,1,9,10,14,1,0,3,0,26,29.2,2024-10-31
Victor Wembanyama,SAS,UTA,W,33.57,9,20,0.45,4,13,0.308,3,3,1.0,2,7,9,7,5,5,3,3,25,27.3,2024-10-31
James Harden,LAC,PHO,L,35.68,8,19,0.421,3,10,0.3,6,7,0.857,0,10,10,13,2,2,6,2,25,23.2,2024-10-31
Kyrie Irving,DAL,HOU,L,42.83,10,20,0.5,5,6,0.833,3,3,1.0,4,4,8,7,0,0,3,2,28,23.1,2024-10-31
Ivica Zubac,LAC,PHO,L,35.53,9,10,0.9,0,0,0.0,4,5,0.8,5,7,12,1,1,0,2,1,22,23.1,2024-10-31
Chris Paul,SAS,UTA,W,32.38,8,13,0.615,3,7,0.429,0,0,0.0,0,7,7,10,2,0,1,2,19,22.4,2024-10-31
Royce O'Neale,PHO,LAC,W,28.62,7,8,0.875,5,6,0.833,2,2,1.0,1,6,7,1,1,1,0,3,21,21.9,2024-10-31
Luka Dončić,DAL,HOU,L,37.52,12,25,0.48,3,7,0.429,2,4,0.5,0,5,5,2,1,0,1,5,29,16.4,2024-10-31
Santi Aldama,MEM,MIL,W,33.1,7,14,0.5,1,4,0.25,4,4,1.0,2,7,9,2,1,0,3,1,19,14.5,2024-10-31
Alperen Sengun,HOU,DAL,W,34.78,5,16,0.313,0,1,0.0,7,9,0.778,6,6,12,4,0,1,1,3,17,14.3,2024-10-31
Tari Eason,HOU,DAL,W,18.7,6,10,0.6,1,2,0.5,2,3,0.667,2,2,4,2,0,1,0,1,15,13.7,2024-10-31
Kevin Durant,PHO,LAC,W,38.68,7,13,0.538,2,4,0.5,2,3,0.667,0,5,5,4,1,2,4,1,18,13.6,2024-10-31
Jaylen Wells,MEM,MIL,W,35.62,5,9,0.556,3,6,0.5,3,3,1.0,1,6,7,1,0,0,1,2,16,13.1,2024-10-31
Jalen Green,HOU,DAL,W,36.32,9,21,0.429,3,8,0.375,2,3,0.667,0,12,12,4,1,1,5,4,23,13.0,2024-10-31
John Collins,UTA,SAS,L,27.88,6,13,0.462,0,1,0.0,2,2,1.0,4,7,11,3,1,1,2,3,14,12.8,2024-10-31
Collin Sexton,UTA,SAS,L,24.72,5,11,0.455,0,0,0.0,6,6,1.0,0,3,3,3,2,0,1,5,16,12.3,2024-10-31
Jake LaRavia,MEM,MIL,W,32.72,3,6,0.5,1,3,0.333,4,6,0.667,1,9,10,3,2,0,1,4,11,12.1,2024-10-31
Norman Powell,LAC,PHO,L,30.63,9,21,0.429,4,11,0.364,1,2,0.5,0,2,2,2,1,0,2,1,23,12.1,2024-10-31
Dillon Brooks,HOU,DAL,W,40.9,6,15,0.4,2,9,0.222,3,4,0.75,1,3,4,2,0,1,0,1,17,11.8,2024-10-31
Jabari Smith,HOU,DAL,W,29.3,5,10,0.5,1,5,0.2,3,4,0.75,3,3,6,0,1,0,0,3,14,11.4,2024-10-31
